FE_Method,K,actual_K,Classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
KernelPCA,8,8,RF,0.9832 ± 0.0007,0.7910 ± 0.0155,0.7983 ± 0.0167,0.7687 ± 0.0102,0.8676 ± 0.0055,0.0017 ± 0.0001,0.2017 ± 0.0167,2.1043 ± 0.0413,0.0028 ± 0.0001
KernelPCA,8,8,XGB,0.9900 ± 0.0004,0.8395 ± 0.0241,0.7694 ± 0.0003,0.7720 ± 0.0028,0.8117 ± 0.0291,0.0010 ± 0.0000,0.2306 ± 0.0003,2.1511 ± 0.0790,0.0011 ± 0.0001
KernelPCA,8,8,LGBM,0.9179 ± 0.1209,0.6579 ± 0.2589,0.6268 ± 0.2113,0.6116 ± 0.2358,0.6286 ± 0.2828,0.0086 ± 0.0128,0.3732 ± 0.2113,1.5518 ± 0.1909,0.0028 ± 0.0012
KernelPCA,8,8,KNN,0.9606 ± 0.0005,0.7736 ± 0.0192,0.6887 ± 0.0110,0.6783 ± 0.0119,0.6325 ± 0.0131,0.0041 ± 0.0000,0.3113 ± 0.0110,0.1575 ± 0.0063,0.0224 ± 0.0028
KernelPCA,8,8,MLP,0.9791 ± 0.0020,0.7372 ± 0.0480,0.7826 ± 0.0255,0.7345 ± 0.0172,0.7861 ± 0.0161,0.0021 ± 0.0002,0.2174 ± 0.0255,72.1399 ± 26.1711,0.0026 ± 0.0002
KernelPCA,16,16,DT,0.9918 ± 0.0004,0.8408 ± 0.0282,0.8128 ± 0.0023,0.8153 ± 0.0103,0.8228 ± 0.0014,0.0008 ± 0.0000,0.1872 ± 0.0023,0.8543 ± 0.0245,0.0001 ± 0.0000
KernelPCA,16,16,RF,0.9898 ± 0.0002,0.8399 ± 0.0027,0.7851 ± 0.0002,0.7829 ± 0.0011,0.8369 ± 0.0039,0.0010 ± 0.0000,0.2149 ± 0.0002,3.8304 ± 0.3393,0.0032 ± 0.0003
KernelPCA,16,16,XGB,0.9915 ± 0.0007,0.8577 ± 0.0163,0.7899 ± 0.0342,0.7964 ± 0.0297,0.8308 ± 0.0301,0.0009 ± 0.0001,0.2101 ± 0.0342,2.8731 ± 0.3988,0.0012 ± 0.0001
KernelPCA,16,16,LGBM,0.8670 ± 0.2784,0.7347 ± 0.2955,0.6638 ± 0.2754,0.6552 ± 0.3097,0.6900 ± 0.3121,0.0134 ± 0.0280,0.3362 ± 0.2754,1.8160 ± 0.0735,0.0034 ± 0.0012
KernelPCA,16,16,KNN,0.9615 ± 0.0002,0.7867 ± 0.0295,0.7051 ± 0.0086,0.7005 ± 0.0079,0.6475 ± 0.0050,0.0040 ± 0.0000,0.2949 ± 0.0086,0.0083 ± 0.0023,0.0688 ± 0.0056
KernelPCA,16,16,MLP,0.9897 ± 0.0002,0.7889 ± 0.0227,0.8571 ± 0.0019,0.8104 ± 0.0178,0.8554 ± 0.0077,0.0011 ± 0.0000,0.1429 ± 0.0019,92.3020 ± 11.0852,0.0030 ± 0.0003
AutoEncoder,4,4,DT,0.9719 ± 0.0006,0.8246 ± 0.0051,0.8896 ± 0.0003,0.8462 ± 0.0003,0.8522 ± 0.0008,0.0031 ± 0.0001,0.1104 ± 0.0003,0.1461 ± 0.0183,0.0001 ± 0.0000
AutoEncoder,4,4,RF,0.9923 ± 0.0000,0.8562 ± 0.0021,0.8923 ± 0.0001,0.8680 ± 0.0003,0.8958 ± 0.0001,0.0010 ± 0.0000,0.1077 ± 0.0001,1.8739 ± 0.0818,0.0034 ± 0.0002
AutoEncoder,4,4,XGB,0.9828 ± 0.0051,0.8360 ± 0.0118,0.8899 ± 0.0002,0.8560 ± 0.0063,0.8945 ± 0.0003,0.0021 ± 0.0005,0.1101 ± 0.0002,2.4252 ± 0.0989,0.0015 ± 0.0001
AutoEncoder,4,4,LGBM,0.8639 ± 0.2790,0.7294 ± 0.2799,0.7585 ± 0.2851,0.7100 ± 0.3357,0.7417 ± 0.3424,0.0140 ± 0.0281,0.2415 ± 0.2851,1.4375 ± 0.1228,0.0032 ± 0.0011
AutoEncoder,4,4,KNN,0.9605 ± 0.0003,0.8327 ± 0.0050,0.7694 ± 0.0001,0.7480 ± 0.0003,0.7229 ± 0.0011,0.0043 ± 0.0001,0.2306 ± 0.0001,0.1021 ± 0.0063,0.0231 ± 0.0028
AutoEncoder,4,4,MLP,0.9909 ± 0.0008,0.8391 ± 0.0182,0.8886 ± 0.0004,0.8582 ± 0.0103,0.8935 ± 0.0007,0.0012 ± 0.0001,0.1114 ± 0.0004,70.9853 ± 7.9585,0.0022 ± 0.0004
AutoEncoder,8,8,DT,0.9941 ± 0.0003,0.8908 ± 0.0043,0.8985 ± 0.0005,0.8900 ± 0.0016,0.8961 ± 0.0013,0.0006 ± 0.0000,0.1015 ± 0.0005,0.2955 ± 0.0198,0.0001 ± 0.0000
AutoEncoder,8,8,RF,0.9941 ± 0.0003,0.8937 ± 0.0031,0.8987 ± 0.0003,0.8909 ± 0.0005,0.8993 ± 0.0001,0.0006 ± 0.0000,0.1013 ± 0.0003,1.9735 ± 0.0724,0.0035 ± 0.0001
AutoEncoder,8,8,XGB,0.9940 ± 0.0004,0.8921 ± 0.0025,0.8953 ± 0.0073,0.8887 ± 0.0039,0.8979 ± 0.0027,0.0006 ± 0.0000,0.1047 ± 0.0073,2.5850 ± 0.1437,0.0013 ± 0.0001
AutoEncoder,8,8,LGBM,0.9941 ± 0.0003,0.8942 ± 0.0039,0.8986 ± 0.0003,0.8908 ± 0.0006,0.8993 ± 0.0001,0.0006 ± 0.0000,0.1014 ± 0.0003,1.6770 ± 0.1441,0.0036 ± 0.0003
AutoEncoder,8,8,KNN,0.9634 ± 0.0000,0.8383 ± 0.0035,0.7766 ± 0.0004,0.7574 ± 0.0006,0.7298 ± 0.0009,0.0038 ± 0.0001,0.2234 ± 0.0004,0.1925 ± 0.0103,0.0262 ± 0.0031
AutoEncoder,8,8,MLP,0.9933 ± 0.0003,0.8647 ± 0.0034,0.8953 ± 0.0006,0.8741 ± 0.0015,0.8909 ± 0.0016,0.0007 ± 0.0000,0.1047 ± 0.0006,48.8376 ± 10.1629,0.0011 ± 0.0002
AutoEncoder,16,16,DT,0.9941 ± 0.0001,0.8938 ± 0.0026,0.8981 ± 0.0004,0.8919 ± 0.0008,0.8969 ± 0.0006,0.0006 ± 0.0000,0.1019 ± 0.0004,0.6696 ± 0.1080,0.0001 ± 0.0000
AutoEncoder,16,16,RF,0.9942 ± 0.0001,0.8921 ± 0.0024,0.8980 ± 0.0003,0.8912 ± 0.0006,0.8989 ± 0.0003,0.0006 ± 0.0000,0.1020 ± 0.0003,2.8426 ± 0.1392,0.0031 ± 0.0003
AutoEncoder,16,16,XGB,0.9938 ± 0.0006,0.8920 ± 0.0069,0.8826 ± 0.0351,0.8775 ± 0.0325,0.8990 ± 0.0002,0.0006 ± 0.0001,0.1174 ± 0.0351,2.8884 ± 0.2261,0.0011 ± 0.0001
AutoEncoder,16,16,LGBM,0.9936 ± 0.0009,0.8849 ± 0.0107,0.8663 ± 0.0433,0.8617 ± 0.0404,0.8987 ± 0.0004,0.0007 ± 0.0001,0.1337 ± 0.0433,1.8455 ± 0.3346,0.0030 ± 0.0002
AutoEncoder,16,16,KNN,0.9634 ± 0.0000,0.8145 ± 0.0180,0.7768 ± 0.0001,0.7547 ± 0.0038,0.7294 ± 0.0004,0.0038 ± 0.0000,0.2232 ± 0.0001,0.0072 ± 0.0004,0.0646 ± 0.0045
AutoEncoder,16,16,MLP,0.9934 ± 0.0003,0.8711 ± 0.0029,0.8952 ± 0.0004,0.8788 ± 0.0013,0.8936 ± 0.0023,0.0007 ± 0.0000,0.1048 ± 0.0004,23.2266 ± 8.0411,0.0007 ± 0.0003
